"cc1","cc2","rep","is_ABAC"
"ʃɛn","ɕjuiX","山水",""
"ɕiaŋX","biuɐt̚","赏罚",""
"ʑiaŋH","ɣaX","上下",""
"ɕiĕn","ʃiuk̚","伸缩",""
"ʃjəm","ɕiaŋ","参商",""
"ɕiəm","t͡sʰiɛnX","深浅",""
"ɕiəŋ","kɔŋH","升降",""
"ʃɐŋ","sjiX","生死",""
"ɕiəŋH","baiH","胜败",""
"ɕiəŋ","biuX","胜负",""
"ʑiə","kʰuŋ","时空",""
"ɕiəX","muɑt̚","始末",""
"ɕiəX","t͡ɕiuŋ","始终",""
"d͡ʒiəX","niɔX","士女",""
"ʑieX","piuəi","是非",""
"ʑieX","piuX","是否",""
"ɕiu","piuɐt̚","收发",""
"ɕiu","t͡ɕie","收支",""
"ɕiuX","kiak̚","手脚",""
"ɕiuX","t͡siok̚","手足",""
"ɕiuX","miuəiX","首尾",""
"ʑiuH","ʑiuX","授受",""
"ɕiɔ","kjuɛnX","舒卷",""
"ɕio","iɛŋ","输赢",""
"ɕjuiX","xuɑX","水火",""
"ʑiueH","kauH","睡觉",""
"ʃɔk̚","miuaŋH","朔望",""
"sjiX","ɣuɑt̚","死活",""
"zioŋ","kiĕnX","松紧",""
"siuk̚","iaH","夙夜",""
"suənX","ʔiɛk̚","损益",""
"dei","buɑt̚","题跋",""
"tʰen","diH","天地",""
"tʰen","ȵiaŋX","天壤",""
"tʰen","ʔuen","天渊",""
"tʰən","tʰoX","吞吐",""
"ɣiuaŋX","piuɐnX","往返",""
"ɣiuaŋX","biuH","往复",""
"ɣiuaŋX","ɣuan","往还",""
"ɣiuaŋX","lᴀi","往来",""
"miuaŋH","kiəH","忘记",""
"miuən","mioX","文武",""
"miuənH","tᴀp̚","问答",""
"xjəp̚","ȶiaŋ","翕张",""
"ɣa","ȵieX","遐迩",""
"sen","ɣuX","先后",""
"xiaŋH","buᴀiH","向背",""
"siɛu","siək̚","消息",""
"siɛu","ȶiaŋX","消长",""
"siɛu","ȵiaŋX","霄壤",""
"xiəŋ","ʃjui","兴衰",""
"xiəŋ","miuaŋ","兴亡",""
"ɣɐŋ","d͡zɑŋ","行藏",""
"ɣɐŋ","t͡ɕiəX","行止",""
"xiuɐŋ","deiX","兄弟",""
"xiu","t͡sʰek̚","休戚",""
"siu","tuɑnX","修短",""
"xiɔ","d͡ʑiĕt̚","虚实",""
"ziɔX","buɑt̚","序跋",""
"xiɐn","ȶjiH","轩轾",""
"ŋiɐn","ɣɐŋ","言行",""
"ŋen","t͡ɕʰiə","妍媸",""
"ɣjɛm","liaŋ","炎凉",""
"iaŋ","kʰiH","扬弃",""
"ʔiəi","ɣiuəi","依违",""
"iəH","duŋ","异同",""
"ʔiək̚","iaŋ","抑扬",""
"ʔiĕn","kuɑX","因果",""
"ʔjəm","iaŋ","阴阳",""
"ʔjəm","ŋjeH","音义",""
"ʔiənX","ɣenH","隐现",""
"iɛŋ","kʰjue","盈亏",""
"ʔiu","liuɛt̚","优劣",""
"ʔiĕu","miɐŋ","幽明",""
"ɣioX","ȡiuH","宇宙",""
"ŋiuɐn","ʔjueX","原委",""
"ŋiuɐn","liu","源流",""
"ɣiuɐnX","ɡiənX","远近",""
"t͡sɑŋ","bjiX","臧否",""
"t͡sɑuX","miuɐnX","早晚",""
"","bɐk̚","皂白",""
"t͡səŋ","ʃan","增删",""
"t͡ɕiɛm","koH","瞻顾",""
"ȶiaŋ","lɑk̚","涨落",""
"ȶjɛu","ziɛk̚","朝夕",""
"t͡ɕiĕn","ŋjueH","真伪",""
"t͡ɕiĕt̚","liaŋH","质量",""
"ȶiuŋ","ŋuɑiH","中外",""
"ȶiuŋ","sei","中西",""
"ȶiuH","iaH","昼夜",""
"t͡ɕioX","t͡sʰiH","主次",""
"t͡ɕioX","d͡zioŋH","主从",""
"t͡ʃiaŋ","siaH","装卸",""
"t͡siəX","niɔX","子女",""
"t͡siəX","muᴀiH","姊妹",""
"t͡sioŋ","ɣuɐŋ","纵横",""
"t͡soX","suən","祖孙",""
"t͡sɑX","ɣiuX","左右",""
"t͡sɑH","siək̚","作息",""
